epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,244.806,1.80858,0.93799,1.07001,0.03109,0.0458,0.02077,0.00468,0.79956,90.9129,6.17825,0.00155695,0.00155695,0.00155695
87,247.549,1.82004,0.91314,1.05422,0.03109,0.0458,0.02077,0.00468,0.79956,90.9129,6.17825,0.00157356,0.00157356,0.00157356
88,250.954,1.85545,0.86333,1.0015,0.03109,0.0458,0.02077,0.00468,0,0,0,0.00159013,0.00159013,0.00159013
89,253.596,1.95823,0.84654,0.9969,0.03109,0.0458,0.02077,0.00468,0,0,0,0.00160667,0.00160667,0.00160667
90,256.079,1.96193,0.83737,1.01068,0.03109,0.0458,0.02077,0.00468,0,0,0,0.00162316,0.00162316,0.00162316
91,260.05,1.99122,0.81235,0.99454,0.03109,0.0458,0.02077,0.00468,0,0,0,0.00163962,0.00163962,0.00163962
92,263.335,2.2599,0.88621,1.0199,0.03109,0.0458,0.02077,0.00468,3e-05,3e-05,9e-05,0.00165604,0.00165604,0.00165604
93,265.91,2.00177,0.91208,0.99537,0.03109,0.0458,0.02077,0.00468,3e-05,3e-05,9e-05,0.00167241,0.00167241,0.00167241
94,268.345,1.86373,0.98772,1.03258,0.03109,0.0458,0.02077,0.00468,3e-05,3e-05,9e-05,0.00168875,0.00168875,0.00168875
95,270.913,1.85344,0.82058,1.00593,0.03109,0.0458,0.02077,0.00468,3e-05,3e-05,9e-05,0.00170505,0.00170505,0.00170505
96,273.6,1.97711,1.10902,1.07921,0.03109,0.0458,0.02077,0.00468,5.29095,4.25888,2.69754,0.00172131,0.00172131,0.00172131
97,276.567,1.89329,0.93508,1.03321,0.03109,0.0458,0.02077,0.00468,5.29095,4.25888,2.69754,0.00173752,0.00173752,0.00173752
98,279.98,1.81066,0.84551,1.01056,0.03109,0.0458,0.02077,0.00468,5.29095,4.25888,2.69754,0.0017537,0.0017537,0.0017537
99,283.917,1.88299,1.06158,1.00868,0.03109,0.0458,0.02077,0.00468,5.29095,4.25888,2.69754,0.00176984,0.00176984,0.00176984
100,287.029,1.96703,0.96555,1.01165,0.22449,0.08397,0.12336,0.03825,3.80007,3.12194,1.9427,0.00178594,0.00178594,0.00178594
101,290.01,1.77775,0.89721,1.03292,0.22449,0.08397,0.12336,0.03825,3.80007,3.12194,1.9427,0.001802,0.001802,0.001802
102,292.813,1.88161,0.88563,1.03681,0.22449,0.08397,0.12336,0.03825,3.80007,3.12194,1.9427,0.00180002,0.00180002,0.00180002
103,295.405,1.7474,0.90368,1.01847,0.22449,0.08397,0.12336,0.03825,3.80007,3.12194,1.9427,0.00179804,0.00179804,0.00179804
104,298.218,1.9132,0.9334,1.048,0.23656,0.16794,0.14356,0.05068,3.68915,2.0017,2.0528,0.00179606,0.00179606,0.00179606
105,300.794,1.88409,0.95522,1.02058,0.23656,0.16794,0.14356,0.05068,3.68915,2.0017,2.0528,0.00179408,0.00179408,0.00179408
106,303.579,1.94913,0.98303,1.0445,0.23656,0.16794,0.14356,0.05068,3.68915,2.0017,2.0528,0.0017921,0.0017921,0.0017921
107,306.282,1.88673,0.92163,0.97829,0.23656,0.16794,0.14356,0.05068,3.68915,2.0017,2.0528,0.00179012,0.00179012,0.00179012
108,309.087,2.56936,0.974,1.01448,0.18905,0.19847,0.12842,0.04324,3.78723,1.77409,2.16575,0.00178814,0.00178814,0.00178814
109,311.566,1.93875,1.03567,1.11537,0.18905,0.19847,0.12842,0.04324,3.78723,1.77409,2.16575,0.00178616,0.00178616,0.00178616
110,313.82,2.02927,1.07747,1.11573,0.18905,0.19847,0.12842,0.04324,3.78723,1.77409,2.16575,0.00178418,0.00178418,0.00178418
111,316.282,1.80523,0.88639,0.96921,0.18905,0.19847,0.12842,0.04324,3.78723,1.77409,2.16575,0.0017822,0.0017822,0.0017822
112,318.894,1.74242,0.92494,1.02246,0.25921,0.22137,0.13586,0.0361,3.82875,1.67092,2.10742,0.00178022,0.00178022,0.00178022
113,321.328,2.15304,0.89372,1.00905,0.25921,0.22137,0.13586,0.0361,3.82875,1.67092,2.10742,0.00177824,0.00177824,0.00177824
114,323.738,1.77083,0.85574,1.05544,0.25921,0.22137,0.13586,0.0361,3.82875,1.67092,2.10742,0.00177626,0.00177626,0.00177626
115,326.072,1.99861,0.92691,1.04786,0.25921,0.22137,0.13586,0.0361,3.82875,1.67092,2.10742,0.00177428,0.00177428,0.00177428
116,328.507,1.774,0.84455,1.01632,0.2516,0.25191,0.12377,0.03604,3.81347,1.83683,2.05805,0.0017723,0.0017723,0.0017723
117,331.184,1.89095,0.8765,1.03032,0.2516,0.25191,0.12377,0.03604,3.81347,1.83683,2.05805,0.00177032,0.00177032,0.00177032
118,334.414,1.77186,0.89353,1.01734,0.2516,0.25191,0.12377,0.03604,3.81347,1.83683,2.05805,0.00176834,0.00176834,0.00176834
119,336.964,1.70041,0.92447,1.03571,0.2516,0.25191,0.12377,0.03604,3.81347,1.83683,2.05805,0.00176636,0.00176636,0.00176636
120,339.789,1.7049,0.82078,1.02277,0.24652,0.23664,0.13647,0.0435,3.79407,1.79163,1.86304,0.00176438,0.00176438,0.00176438
121,342.5,1.81706,0.88252,1.01283,0.24652,0.23664,0.13647,0.0435,3.79407,1.79163,1.86304,0.0017624,0.0017624,0.0017624
122,345.191,1.83861,0.93257,1.0176,0.24652,0.23664,0.13647,0.0435,3.79407,1.79163,1.86304,0.00176042,0.00176042,0.00176042
123,349.93,1.74863,0.87374,1.04602,0.24652,0.23664,0.13647,0.0435,3.79407,1.79163,1.86304,0.00175844,0.00175844,0.00175844
124,353.13,1.74875,0.75951,0.96377,0.23458,0.18321,0.11738,0.0322,3.81229,1.88521,1.86314,0.00175646,0.00175646,0.00175646
125,355.813,1.76259,0.92719,1.08959,0.23458,0.18321,0.11738,0.0322,3.81229,1.88521,1.86314,0.00175448,0.00175448,0.00175448
126,358.538,1.6563,0.82088,0.9864,0.23458,0.18321,0.11738,0.0322,3.81229,1.88521,1.86314,0.0017525,0.0017525,0.0017525
127,361.351,1.64292,0.78421,0.99453,0.23458,0.18321,0.11738,0.0322,3.81229,1.88521,1.86314,0.00175052,0.00175052,0.00175052
128,364.603,1.7248,0.83413,0.98832,0.23287,0.17557,0.11421,0.03053,3.89568,1.93534,1.83584,0.00174854,0.00174854,0.00174854
129,367.333,1.88275,0.7875,0.97838,0.23287,0.17557,0.11421,0.03053,3.89568,1.93534,1.83584,0.00174656,0.00174656,0.00174656
130,370.765,1.80162,0.78924,0.95919,0.23287,0.17557,0.11421,0.03053,3.89568,1.93534,1.83584,0.00174458,0.00174458,0.00174458
131,374.262,1.80558,0.80393,0.98885,0.23287,0.17557,0.11421,0.03053,3.89568,1.93534,1.83584,0.0017426,0.0017426,0.0017426
132,377.667,1.82144,0.7644,0.98302,0.23326,0.16031,0.10175,0.03453,3.74672,1.88369,1.73528,0.00174062,0.00174062,0.00174062
133,381.488,2.28666,0.82856,1.00321,0.23326,0.16031,0.10175,0.03453,3.74672,1.88369,1.73528,0.00173864,0.00173864,0.00173864
134,384.837,1.76602,0.77817,0.98212,0.23326,0.16031,0.10175,0.03453,3.74672,1.88369,1.73528,0.00173666,0.00173666,0.00173666
135,388.498,1.94696,0.85926,0.98973,0.23326,0.16031,0.10175,0.03453,3.74672,1.88369,1.73528,0.00173468,0.00173468,0.00173468
136,392.127,1.83129,0.94746,1.07118,0.22105,0.2058,0.11751,0.03777,3.67342,1.89836,1.7329,0.0017327,0.0017327,0.0017327
137,395.13,1.8154,0.90715,1.04277,0.22105,0.2058,0.11751,0.03777,3.67342,1.89836,1.7329,0.00173072,0.00173072,0.00173072
138,398.304,1.65963,0.75431,0.92342,0.22105,0.2058,0.11751,0.03777,3.67342,1.89836,1.7329,0.00172874,0.00172874,0.00172874
139,401.564,1.82189,0.90215,1.04219,0.22105,0.2058,0.11751,0.03777,3.67342,1.89836,1.7329,0.00172676,0.00172676,0.00172676
140,405.06,1.60743,0.82009,0.97594,0.2371,0.22901,0.12645,0.03843,3.56408,1.97908,1.69501,0.00172478,0.00172478,0.00172478
141,408.34,1.62851,0.85009,0.99295,0.2371,0.22901,0.12645,0.03843,3.56408,1.97908,1.69501,0.0017228,0.0017228,0.0017228
142,411.316,1.86208,0.8597,1.0092,0.2371,0.22901,0.12645,0.03843,3.56408,1.97908,1.69501,0.00172082,0.00172082,0.00172082
143,414.406,1.79849,0.89889,1.00969,0.2371,0.22901,0.12645,0.03843,3.56408,1.97908,1.69501,0.00171884,0.00171884,0.00171884
144,417.56,1.65018,0.84497,0.99342,0.25765,0.26718,0.15316,0.04565,3.62447,1.92693,1.81419,0.00171686,0.00171686,0.00171686
145,420.627,1.91465,0.96109,1.10297,0.25765,0.26718,0.15316,0.04565,3.62447,1.92693,1.81419,0.00171488,0.00171488,0.00171488
146,423.863,1.62719,0.75536,0.94508,0.25765,0.26718,0.15316,0.04565,3.62447,1.92693,1.81419,0.0017129,0.0017129,0.0017129
147,426.701,1.9288,0.93551,1.03032,0.25765,0.26718,0.15316,0.04565,3.62447,1.92693,1.81419,0.00171092,0.00171092,0.00171092
148,430.011,1.72237,0.8805,1.05067,0.28105,0.22137,0.14069,0.03748,3.65342,2.08329,1.83208,0.00170894,0.00170894,0.00170894
149,432.968,1.69025,0.85117,0.99785,0.28105,0.22137,0.14069,0.03748,3.65342,2.08329,1.83208,0.00170696,0.00170696,0.00170696
150,435.922,1.69655,0.83184,0.99469,0.28105,0.22137,0.14069,0.03748,3.65342,2.08329,1.83208,0.00170498,0.00170498,0.00170498
151,438.733,2.14134,0.84891,0.988,0.28105,0.22137,0.14069,0.03748,3.65342,2.08329,1.83208,0.001703,0.001703,0.001703
152,442.022,1.74968,0.89108,1.03075,0.2656,0.22901,0.12514,0.03623,3.73415,2.33932,1.85726,0.00170102,0.00170102,0.00170102
153,444.587,1.71992,0.83383,1.00639,0.2656,0.22901,0.12514,0.03623,3.73415,2.33932,1.85726,0.00169904,0.00169904,0.00169904
154,447.359,1.56035,0.85344,1.03966,0.2656,0.22901,0.12514,0.03623,3.73415,2.33932,1.85726,0.00169706,0.00169706,0.00169706
155,450.585,1.5279,0.76284,0.97471,0.2656,0.22901,0.12514,0.03623,3.73415,2.33932,1.85726,0.00169508,0.00169508,0.00169508
156,454.181,2.11211,0.83966,0.95888,0.25515,0.25954,0.15157,0.04246,3.62817,2.52411,1.7531,0.0016931,0.0016931,0.0016931
157,456.969,1.59563,0.82655,1.0044,0.25515,0.25954,0.15157,0.04246,3.62817,2.52411,1.7531,0.00169112,0.00169112,0.00169112
158,459.734,1.58414,0.81171,1.00501,0.25515,0.25954,0.15157,0.04246,3.62817,2.52411,1.7531,0.00168914,0.00168914,0.00168914
159,462.696,1.70197,0.6848,0.92893,0.25515,0.25954,0.15157,0.04246,3.62817,2.52411,1.7531,0.00168716,0.00168716,0.00168716
160,466.03,1.8639,0.8938,1.01861,0.20178,0.25191,0.09921,0.02038,4.28086,2.37647,1.58599,0.00168518,0.00168518,0.00168518
161,469.181,1.75686,0.8275,1.00782,0.20178,0.25191,0.09921,0.02038,4.28086,2.37647,1.58599,0.0016832,0.0016832,0.0016832
162,471.915,1.74899,0.90296,1.02828,0.20178,0.25191,0.09921,0.02038,4.28086,2.37647,1.58599,0.00168122,0.00168122,0.00168122
163,474.553,1.74204,0.85415,0.99957,0.20178,0.25191,0.09921,0.02038,4.28086,2.37647,1.58599,0.00167924,0.00167924,0.00167924
164,477.783,1.90245,0.82969,0.97368,0.23568,0.27481,0.1189,0.03752,3.77325,2.5451,1.50137,0.00167726,0.00167726,0.00167726
165,480.55,2.18559,1.32074,1.06936,0.23568,0.27481,0.1189,0.03752,3.77325,2.5451,1.50137,0.00167528,0.00167528,0.00167528
166,483.592,1.65437,0.81427,0.97081,0.23568,0.27481,0.1189,0.03752,3.77325,2.5451,1.50137,0.0016733,0.0016733,0.0016733
167,486.577,1.60179,0.79069,0.94906,0.23568,0.27481,0.1189,0.03752,3.77325,2.5451,1.50137,0.00167132,0.00167132,0.00167132
168,491.301,1.77543,0.90057,0.99884,0.21518,0.19847,0.1054,0.02941,4.17554,1.99438,1.55454,0.00166934,0.00166934,0.00166934
169,493.98,1.86345,0.86488,0.96479,0.21518,0.19847,0.1054,0.02941,4.17554,1.99438,1.55454,0.00166736,0.00166736,0.00166736
170,496.914,1.7748,0.86473,1.01737,0.21518,0.19847,0.1054,0.02941,4.17554,1.99438,1.55454,0.00166538,0.00166538,0.00166538
171,499.691,1.78738,0.87632,1.01457,0.21518,0.19847,0.1054,0.02941,4.17554,1.99438,1.55454,0.0016634,0.0016634,0.0016634
172,502.389,1.64117,0.8197,0.99957,0.11465,0.0687,0.02645,0.00564,5.04443,1.97619,1.44511,0.00166142,0.00166142,0.00166142
173,505.015,1.73748,0.83948,0.97265,0.11465,0.0687,0.02645,0.00564,5.04443,1.97619,1.44511,0.00165944,0.00165944,0.00165944
174,507.816,1.57489,0.82973,0.97473,0.11465,0.0687,0.02645,0.00564,5.04443,1.97619,1.44511,0.00165746,0.00165746,0.00165746
175,510.453,1.74598,0.93835,1.01176,0.11465,0.0687,0.02645,0.00564,5.04443,1.97619,1.44511,0.00165548,0.00165548,0.00165548
176,513.366,1.77483,0.79268,0.92023,0.11465,0.0687,0.02645,0.00564,5.74244,2.06071,1.38173,0.0016535,0.0016535,0.0016535
177,515.851,1.74059,0.88454,0.98447,0.11465,0.0687,0.02645,0.00564,5.74244,2.06071,1.38173,0.00165152,0.00165152,0.00165152
178,518.565,1.67899,0.79673,0.93146,0.11465,0.0687,0.02645,0.00564,5.74244,2.06071,1.38173,0.00164954,0.00164954,0.00164954
179,521.141,1.58268,0.85055,0.97891,0.11465,0.0687,0.02645,0.00564,5.74244,2.06071,1.38173,0.00164756,0.00164756,0.00164756
180,523.993,1.78799,0.83442,0.97192,0.11465,0.0687,0.02645,0.00564,6.80377,2.4665,1.5683,0.00164558,0.00164558,0.00164558
181,526.608,1.84892,0.83662,0.98704,0.11465,0.0687,0.02645,0.00564,6.80377,2.4665,1.5683,0.0016436,0.0016436,0.0016436
182,529.197,1.73107,0.86506,0.9821,0.11465,0.0687,0.02645,0.00564,6.80377,2.4665,1.5683,0.00164162,0.00164162,0.00164162
183,531.861,1.69226,0.7722,0.95641,0.11465,0.0687,0.02645,0.00564,6.80377,2.4665,1.5683,0.00163964,0.00163964,0.00163964
184,534.889,1.71133,0.86876,1.02399,0.11465,0.0687,0.02645,0.00564,6.73515,2.78369,2.03542,0.00163766,0.00163766,0.00163766
185,537.41,1.68402,0.73977,0.93049,0.11465,0.0687,0.02645,0.00564,6.73515,2.78369,2.03542,0.00163568,0.00163568,0.00163568
186,540.002,1.70918,0.86038,0.96096,0.11465,0.0687,0.02645,0.00564,6.73515,2.78369,2.03542,0.0016337,0.0016337,0.0016337
187,542.726,1.82335,0.94697,1.03487,0.11465,0.0687,0.02645,0.00564,6.73515,2.78369,2.03542,0.00163172,0.00163172,0.00163172
188,545.526,1.57008,0.74148,0.93909,0.26909,0.0916,0.06739,0.01524,4.70537,2.07837,1.72269,0.00162974,0.00162974,0.00162974
